year,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America
2009,1.177793085029,3.4288301304475,1.9653311402626,7.9762373201623,7.1242037185201,14.391160125141,15.58196060063,2.5068857902403
2010,1.1711011508616,3.6310020192939,2.0357935582985,8.2641730059182,7.2471319484005,14.696749511556,15.302390350383,2.6962166906106
2011,1.1697886321191,3.8904711122544,1.9893808288888,8.1449016752998,7.3087471933476,14.34177371,14.963429137297,2.6779521297437
2012,1.1491314642572,3.9773536931195,1.9540894430907,8.052478537971,7.8116627876084,13.808349269223,14.88870452667,2.8077873465291
2013,1.1344210665318,3.9712778909854,1.9549799784954,7.8313278804388,7.5622935218614,14.005940676442,14.381629813199,2.8810540945492
2014,1.1818544208384,3.9821067950783,1.9433621628313,7.5152260781354,7.8256096951469,13.967567614385,14.087264119733,2.9315409214969
2015,1.1257198998137,3.9817571642484,2.0072032756682,7.5110253781363,7.7084542661486,13.537879366662,14.214134747969,2.8394683950559
2016,1.1177154948498,3.9837207488817,1.971785058273,7.491179903991,7.7982785131006,13.166552394829,14.329505883173,2.7258068134422
2017,1.1019120346357,4.0250283395532,1.9438253545488,7.5296982290846,7.8561231107133,13.017924635198,14.334765551425,2.6804239059279
2018,1.098614366699,4.1210965586578,1.9752506681682,7.5115545190525,7.8745428912689,13.177580075665,14.232054161707,2.6274403126194
