year,global_emissions,description,compatible_with_degrees
2071,-3.8,SR15 P2,1.5
2072,-3.9,SR15 P2,1.5
2073,-3.9,SR15 P2,1.5
2074,-4,SR15 P2,1.5
2075,-4,SR15 P2,1.5
2076,-4.1,SR15 P2,1.5
2077,-4.2,SR15 P2,1.5
2078,-4.2,SR15 P2,1.5
2079,-4.3,SR15 P2,1.5
2080,-4.3,SR15 P2,1.5
2081,-4.3,SR15 P2,1.5
2082,-4.3,SR15 P2,1.5
2083,-4.4,SR15 P2,1.5
2084,-4.4,SR15 P2,1.5
2085,-4.4,SR15 P2,1.5
2086,-4.4,SR15 P2,1.5
2087,-4.4,SR15 P2,1.5
2088,-4.4,SR15 P2,1.5
2089,-4.4,SR15 P2,1.5
2090,-4.4,SR15 P2,1.5
2091,-4.4,SR15 P2,1.5
2092,-4.4,SR15 P2,1.5
2093,-4.4,SR15 P2,1.5
2094,-4.4,SR15 P2,1.5
2095,-4.4,SR15 P2,1.5
2096,-4.4,SR15 P2,1.5
2097,-4.4,SR15 P2,1.5
2098,-4.5,SR15 P2,1.5
2099,-4.5,SR15 P2,1.5
2100,-4.5,SR15 P2,1.5
2010,40.3,SR15 P3,1.5
2011,40.4,SR15 P3,1.5
2012,40.4,SR15 P3,1.5
2013,40.5,SR15 P3,1.5
2014,40.6,SR15 P3,1.5
2015,40.6,SR15 P3,1.5
2016,40.7,SR15 P3,1.5
2017,40.7,SR15 P3,1.5
2018,40.8,SR15 P3,1.5
2019,40.9,SR15 P3,1.5
2020,40.9,SR15 P3,1.5
2021,39.2,SR15 P3,1.5
2022,37.5,SR15 P3,1.5
2023,35.7,SR15 P3,1.5
2024,34,SR15 P3,1.5
2025,32.3,SR15 P3,1.5
2026,30.6,SR15 P3,1.5
2027,28.8,SR15 P3,1.5
2028,27.1,SR15 P3,1.5
2029,25.4,SR15 P3,1.5
2030,23.6,SR15 P3,1.5
2031,22.4,SR15 P3,1.5
2032,21.2,SR15 P3,1.5
2033,20,SR15 P3,1.5
2034,18.8,SR15 P3,1.5
2035,17.6,SR15 P3,1.5
2036,16.4,SR15 P3,1.5
2037,15.2,SR15 P3,1.5
2038,13.9,SR15 P3,1.5
2039,12.7,SR15 P3,1.5
2040,11.5,SR15 P3,1.5
2041,10.7,SR15 P3,1.5
2042,10,SR15 P3,1.5
2043,9.2,SR15 P3,1.5
2044,8.4,SR15 P3,1.5
2045,7.7,SR15 P3,1.5
2046,6.9,SR15 P3,1.5
2047,6.1,SR15 P3,1.5
2048,5.3,SR15 P3,1.5
2049,4.6,SR15 P3,1.5
2050,3.8,SR15 P3,1.5
2051,3.2,SR15 P3,1.5
2052,2.7,SR15 P3,1.5
2053,2.2,SR15 P3,1.5
2054,1.7,SR15 P3,1.5
2055,1.1,SR15 P3,1.5
2056,0.6,SR15 P3,1.5
2057,0.1,SR15 P3,1.5
2058,-0.5,SR15 P3,1.5
2059,-1,SR15 P3,1.5
2060,-1.5,SR15 P3,1.5
2061,-2,SR15 P3,1.5
2062,-2.5,SR15 P3,1.5
2063,-3,SR15 P3,1.5
2064,-3.5,SR15 P3,1.5
2065,-4,SR15 P3,1.5
2066,-4.5,SR15 P3,1.5
2067,-5,SR15 P3,1.5
2068,-5.5,SR15 P3,1.5
2069,-6,SR15 P3,1.5
2070,-6.5,SR15 P3,1.5
2071,-6.9,SR15 P3,1.5
2072,-7.4,SR15 P3,1.5
2073,-7.8,SR15 P3,1.5
2074,-8.2,SR15 P3,1.5
2075,-8.6,SR15 P3,1.5
2076,-9,SR15 P3,1.5
2077,-9.4,SR15 P3,1.5
2078,-9.8,SR15 P3,1.5
2079,-10.2,SR15 P3,1.5
2080,-10.6,SR15 P3,1.5
2081,-10.8,SR15 P3,1.5
2082,-11,SR15 P3,1.5
2083,-11.1,SR15 P3,1.5
2084,-11.3,SR15 P3,1.5
2085,-11.5,SR15 P3,1.5
2086,-11.7,SR15 P3,1.5
2087,-11.9,SR15 P3,1.5
2088,-12.1,SR15 P3,1.5
2089,-12.2,SR15 P3,1.5
2090,-12.4,SR15 P3,1.5
2091,-12.5,SR15 P3,1.5
2092,-12.5,SR15 P3,1.5
2093,-12.6,SR15 P3,1.5
2094,-12.7,SR15 P3,1.5
2095,-12.7,SR15 P3,1.5
2096,-12.8,SR15 P3,1.5
2097,-12.9,SR15 P3,1.5
2098,-12.9,SR15 P3,1.5
2099,-13,SR15 P3,1.5
2100,-13,SR15 P3,1.5
2010,40.3,SR15 P4,1.5
2011,36.7,SR15 P4,1.5
2012,37,SR15 P4,1.5
2013,37.4,SR15 P4,1.5
2014,37.7,SR15 P4,1.5
2015,38,SR15 P4,1.5
2016,38.4,SR15 P4,1.5
2017,38.7,SR15 P4,1.5
2018,39,SR15 P4,1.5
2019,39.4,SR15 P4,1.5
2020,39.7,SR15 P4,1.5
2021,39.5,SR15 P4,1.5
2022,39.3,SR15 P4,1.5
2023,39.1,SR15 P4,1.5
2024,38.9,SR15 P4,1.5
2025,38.7,SR15 P4,1.5
2026,38.5,SR15 P4,1.5
2027,38.3,SR15 P4,1.5
2028,38.2,SR15 P4,1.5
2029,38,SR15 P4,1.5
2030,37.8,SR15 P4,1.5
2031,36.2,SR15 P4,1.5
2032,34.6,SR15 P4,1.5
2033,33.1,SR15 P4,1.5
2034,31.5,SR15 P4,1.5
2035,30,SR15 P4,1.5
2036,28.4,SR15 P4,1.5
2037,26.8,SR15 P4,1.5
2038,25.3,SR15 P4,1.5
2039,23.7,SR15 P4,1.5
2040,22.1,SR15 P4,1.5
2041,20.1,SR15 P4,1.5
